p min 51 68
a	13	14	0	1	0
a	50	37	0	0	0
a	28	34	0	2	119
a	14	1	0	1	0
a	28	29	0	2	173
a	27	28	0	8	177
a	35	36	0	2	180
a	5	11	0	2	137
a	36	37	0	1	0
a	2	26	0	8	177
a	26	27	0	8	41
a	49	1	0	1	0
a	28	44	0	2	124
a	18	19	0	1	0
a	45	46	0	2	136
a	44	45	0	2	68
a	11	12	0	2	243
a	8	9	0	1	0
a	50	49	0	1	803
a	32	1	0	1	0
a	4	5	0	8	28
a	43	1	0	1	0
a	5	16	0	2	172
a	36	38	0	1	0
a	20	1	0	1	0
a	28	39	0	2	33
a	46	47	0	1	0
a	6	7	0	2	44
a	9	1	0	1	0
a	50	51	0	0	23
a	38	1	0	1	0
a	13	15	0	1	0
a	2	3	0	8	134
a	42	1	0	1	0
a	23	25	0	1	0
a	50	24	0	0	0
a	39	40	0	2	31
a	12	13	0	2	150
a	8	10	0	1	0
a	18	20	0	1	0
a	24	1	0	1	0
a	29	30	0	2	237
a	46	48	0	1	0
a	30	31	0	2	212
a	3	4	0	8	137
a	10	1	0	1	0
a	31	32	0	1	0
a	25	1	0	1	0
a	50	2	0	1	430
a	7	8	0	2	86
a	17	18	0	2	28
a	41	42	0	1	0
a	16	17	0	2	113
a	19	1	0	1	0
a	5	6	0	2	166
a	5	21	0	2	191
a	15	1	0	1	0
a	22	23	0	2	14
a	47	1	0	1	0
a	34	35	0	2	68
a	48	1	0	1	0
a	41	43	0	1	0
a	37	1	0	1	0
a	23	24	0	1	0
a	40	41	0	2	113
a	21	22	0	2	60
a	31	33	0	1	0
a	33	1	0	1	0
n	1	-1
n	50	1
